sample,time_seconds,node20,node21,node22,node23,node24,node25,effect1,node30,node31,node32,node33,node34,node35,node36,node37,node38,node39,node40,effect2,node90
613,0.005108333,0.100168358,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.063163365,2.369461633,0.000000000,0.000000000,0.000000000,-0.009039184
614,0.005116667,0.100329033,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.063265375,2.369495189,0.000000000,0.000000000,0.000000000,-0.009038174
615,0.005125000,0.100489701,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.063367383,2.369528744,1.204155991,0.000000000,0.000000000,-0.009037165
616,0.005133333,0.100650360,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.063469388,2.369562299,0.000000000,0.000000000,0.000000000,-0.009036155
617,0.005141667,0.100811012,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.063571391,2.369595852,0.000000000,0.000000000,0.000000000,-0.009035146
618,0.005150000,0.100971656,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.063673390,2.369629405,0.000000000,0.000000000,0.000000000,-0.009034136
619,0.005158333,0.101132292,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.063775387,2.369662956,1.603690039,0.000000000,0.000000000,-0.009033127
620,0.005166667,0.101292920,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.063877381,2.369696507,0.000000000,0.000000000,0.000000000,-0.009032118
621,0.005175000,0.101453539,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.063979372,2.369730056,0.000000000,0.000000000,0.000000000,-0.009031109
622,0.005183333,0.101614151,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.064081360,2.369763605,1.105576146,0.105576146,0.179479448,0.020076432
623,0.005191667,0.101774756,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.064183346,2.369797153,0.000000000,1.000000000,1.700000000,0.266659751
624,0.005200000,0.101935352,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.064285328,2.369830700,0.000000000,1.000000000,1.700000000,0.266627832
625,0.005208333,0.102095940,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.064387308,2.369864246,0.000000000,1.000000000,1.700000000,0.266595916
626,0.005216667,0.102256520,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.064489286,2.369897791,1.506372752,1.000000000,1.700000000,0.266564004
627,0.005225000,0.102417092,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.064591260,2.369931336,0.000000000,1.000000000,1.700000000,0.266532096
628,0.005233333,0.102577657,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.064693232,2.369964879,0.000000000,1.000000000,1.700000000,0.266500191
629,0.005241667,0.102738213,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.064795200,2.369998421,0.000000000,1.000000000,1.700000000,0.266468289
630,0.005250000,0.102898762,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.064897167,2.370031963,1.992940875,1.000000000,1.700000000,0.266436391
631,0.005258333,0.103059303,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.064999130,2.370065503,0.000000000,1.000000000,1.700000000,0.266404497
632,0.005266667,0.103219835,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.065101090,2.370099043,0.000000000,1.000000000,1.700000000,0.266372606
633,0.005275000,0.103380360,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.065203048,2.370132582,1.408186580,1.000000000,1.700000000,0.266340719
634,0.005283333,0.103540877,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.065305003,2.370166119,0.000000000,1.000000000,1.700000000,0.266308836
635,0.005291667,0.103701386,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.065406955,2.370199656,0.000000000,1.000000000,1.700000000,0.266276956
636,0.005300000,0.103861887,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.065508904,2.370233192,0.000000000,1.000000000,1.700000000,0.266245079
637,0.005308333,0.104022380,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.065610851,2.370266727,1.847382144,1.000000000,1.700000000,0.266213206
638,0.005316667,0.104182865,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.065712795,2.370300261,0.000000000,1.000000000,1.700000000,0.266181337
639,0.005325000,0.104343342,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.065814736,2.370333795,0.000000000,1.000000000,1.700000000,0.266149471
640,0.005333333,0.104503811,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.065916674,2.370367327,1.298219665,1.000000000,1.700000000,0.266117609
641,0.005341667,0.104664273,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.066018609,2.370400858,0.000000000,1.000000000,1.700000000,0.266085750
642,0.005350000,0.104824726,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.066120542,2.370434389,0.000000000,1.000000000,1.700000000,0.266053895
